London,United Kingdom
Nice,France
Bonn,Germany
Szeged,Hungary
Krakow,Poland
Prague,Czech Republic
Brno,Czech Republic
Iasi,Romania
Chisinau,Moldova
Leeds,United Kingdom
Nitra,Slovakia
